,id,player_name,games,time,goals_5wks,xG_5wks,assists_5wks,xA_5wks,shots_5wks,key_passes_5wks,yellow_cards,red_cards,position,team_title,npg_5wks,npxG_5wks,xGChain,xGBuildup
0,620,Kelechi Iheanacho,5,411,5,3.1224523186683655,0,1.2686863765120506,15,6,0,0,FWD,Leicester,5,3.1224523186683655,4.22399839386344,0.09801202639937401
1,647,Harry Kane,5,442,5,4.76753705739975,2,0.9554290641099215,22,4,0,0,FWD,Tottenham,4,4.006368190050125,4.6657509580254555,0.1594403237104416
2,558,Jesse Lingard,5,449,4,2.741443432867527,3,1.4319334365427494,12,6,2,0,MID,West Ham,4,1.9802746549248695,3.0221921876072884,0.7912416644394398
3,2251,Gareth Bale,5,273,4,1.6956773176789284,1,0.5110611133277416,8,5,1,0,MID,Tottenham,4,1.6956773176789284,2.937510348856449,1.337851457297802
4,5543,Gabriel Jesus,5,431,4,3.5274744257330894,0,0.766997255384922,13,8,0,0,FWD,Manchester City,4,3.5274744257330894,4.876160368323326,0.78020428866148
5,750,Riyad Mahrez,5,414,3,1.7163442075252533,1,0.5190146509557962,15,8,0,0,FWD,Manchester City,3,1.7163442075252533,4.356318458914757,2.4919892325997353
6,1017,Matej Vydra,5,430,3,2.084147360175848,1,0.5993362125009298,12,6,0,0,FWD,Burnley,3,2.084147360175848,2.7857871651649475,0.5857623517513275
7,2662,Christian Pulisic,5,234,3,1.9192616641521454,0,0.7360923867672682,7,7,0,0,MID,Chelsea,3,1.9192616641521454,3.313084676861763,1.2141611948609352
8,3277,Alexandre Lacazette,5,384,3,2.835482120513916,0,0.16521266102790833,10,2,1,0,FWD,Arsenal,1,1.3131443858146667,1.9171915110200644,0.43883448652923107
9,4456,Chris Wood,5,450,3,2.846287466585636,2,0.674317579716444,17,3,0,0,FWD,Burnley,2,2.085118569433689,3.011450916528702,0.25201475620269775
10,6854,Diogo Jota,5,317,3,1.1823970414698124,0,0.11733008548617363,10,3,2,0,FWD,Liverpool,3,1.1823970414698124,1.918713502585888,0.8711420614272356
11,7700,Che Adams,5,338,3,1.8670507669448853,0,0.1941651999950409,7,4,0,0,FWD,Southampton,3,1.8670507669448853,1.5138717293739319,0.07658839970827103
12,101,Allan Saint-Maximin,5,265,2,0.39434564858675003,1,1.092920952476561,8,9,0,0,FWD,Newcastle United,2,0.39434564858675003,1.945151686668396,0.6363655533641577
13,447,Kevin De Bruyne,5,434,2,1.7874631769955158,1,1.7280221823602915,15,15,0,0,MID,Manchester City,2,1.7874631769955158,4.52204093337059,2.0970311909914017
14,468,Callum Wilson,5,335,2,2.165626171976328,2,0.4973323196172714,12,2,0,0,FWD,Newcastle United,2,2.165626171976328,2.5283967666327953,0.18283410742878914
15,501,Danny Welbeck,5,294,2,2.1503862906247377,1,0.7630195468664169,4,4,0,0,FWD,Brighton,2,1.389254229143262,2.6865991167724133,0.5845358334481716
16,553,Anthony Martial,5,280,2,2.6126281544566154,0,0.10326452739536762,9,2,0,0,FWD,Manchester United,2,2.6126281544566154,2.9003437161445618,0.18445119261741638
17,586,John Stones,5,450,2,0.8573772981762886,0,0.036550868302583694,9,1,0,0,DEF,Manchester City,2,0.8573772981762886,3.3947107791900635,3.2950416803359985
18,606,Christian Benteke,5,425,2,1.6846840381622314,0,0.0660775164142251,9,3,0,0,FWD,Crystal Palace,2,1.6846840381622314,2.1635157763957977,0.896534875035286
19,766,Jamaal Lascelles,5,450,2,0.40415620151907206,0,0,5,0,1,0,DEF,Newcastle United,2,0.40415620151907206,1.5479959920048714,1.3583366349339485
20,843,James Ward-Prowse,5,450,2,1.8786774575710297,0,0.1685917992144823,8,4,0,0,MID,Southampton,0,0.3563397750258446,1.1976470332592726,1.0822569280862808
21,1250,Mohamed Salah,5,423,2,2.269257565960288,0,0.6382304951548576,19,4,0,0,FWD,Liverpool,2,2.269257565960288,4.036706145852804,1.2588494680821896
22,1776,Jarrod Bowen,5,241,2,0.980625344440341,0,0.19072416424751282,8,2,0,0,FWD,West Ham,2,0.980625344440341,0.8846568297594786,0
23,2249,James Rodríguez,5,305,2,0.30263393372297287,1,0.688813216984272,5,5,0,0,FWD,Everton,2,0.30263393372297287,2.023195631802082,1.4200136959552765
24,3294,Edinson Cavani,5,388,2,1.1566035002470016,0,0.5340695306658745,5,3,1,0,FWD,Manchester United,2,1.1566035002470016,1.9018673598766327,0.4765855371952057
25,4422,Ashley Barnes,5,424,2,2.0184720158576965,0,0.20610328298062086,14,6,2,0,FWD,Burnley,1,1.257303148508072,1.0319006089121103,0.1251445822417736
26,4476,Callum Robinson,5,310,2,1.1374066229909658,0,0.1354813277721405,7,3,0,0,FWD,West Bromwich Albion,2,1.1374066229909658,1.421374263241887,0.14848630502820015
27,6026,Richarlison,5,450,2,3.1680725887417793,0,0.5281046396121383,18,4,0,0,FWD,Everton,2,3.1680725887417793,3.174639970064163,0.7473588492721319
28,6681,Harvey Barnes,5,402,2,1.6490952726453543,1,0.5136097632348537,12,7,0,0,MID,Leicester,2,1.6490952726453543,2.344471698626876,0.3659195601940155
29,6818,James Maddison,5,352,2,0.9074878562241793,2,1.7796336561441422,16,6,1,0,MID,Leicester,2,0.9074878562241793,2.6358969658613205,1.3080884218215942
30,7153,Matheus Pereira,5,418,2,0.7519508842378855,2,1.256748728454113,11,9,0,0,MID,West Bromwich Albion,2,0.7519508842378855,2.828554168343544,1.4695993810892105
31,7698,Leandro Trossard,5,417,2,0.5273110046982765,1,0.23224105685949326,5,4,0,0,MID,Brighton,2,0.5273110046982765,2.104728601872921,1.4925063326954842
